time,v2i static,v2i dynamic,cctv static,cctv dynamic
23690,0.0,469.4214000000001,0.0,1401.28
23691,0.0,439.2622,0.0,1401.2799999999997
23692,0.0,439.2622,0.0,1401.2799999999997
23693,0.0,430.5806,0.0,1401.2799999999997
23694,0.0,451.0296000000001,0.0,1401.2799999999997
23695,0.0,441.31940000000014,0.0,1401.2799999999997
23696,0.0,441.31940000000014,0.0,1401.2799999999997
23697,0.0,430.5806,0.0,1401.2799999999997
23698,0.0,433.6664,0.0,1401.28
23699,0.0,431.6092,0.0,1401.28
23700,0.0,431.6092,0.0,1401.28
23701,0.0,431.6092,0.0,1401.28
23702,0.0,420.87040000000013,0.0,1401.28
23703,0.0,430.5806000000001,0.0,1401.28
23704,0.0,443.3766000000001,0.0,1401.28
23705,0.0,431.60920000000004,0.0,1401.28
23706,0.0,400.4214,0.0,1401.28
23707,0.0,413.21740000000005,0.0,1401.28
23708,0.0,400.42140000000006,0.0,1401.28
23709,0.0,409.10300000000007,0.0,1401.28
23710,0.0,409.10300000000007,0.0,1401.28
23711,0.0,409.10300000000007,0.0,1401.28
23712,0.0,409.10300000000007,0.0,1401.28
23713,0.0,409.10300000000007,0.0,1401.28
23714,0.0,401.4500000000001,0.0,1401.28
23715,0.0,400.4214,0.0,1401.2799999999997
23716,0.0,390.71119999999996,0.0,1401.2799999999997
23717,0.0,390.71119999999996,0.0,1401.2799999999997
23718,0.0,387.6254,0.0,1401.2799999999997
23719,0.0,387.6254,0.0,1401.2799999999997
23720,0.0,396.307,0.0,1401.2799999999997
23721,0.0,396.307,0.0,1401.2799999999997
23722,0.0,396.307,0.0,1401.2799999999997
23723,0.0,396.307,0.0,1401.2799999999997
23724,0.0,382.4824,0.0,1401.2799999999997
23725,0.0,395.2784,0.0,1401.2799999999997
23726,0.0,385.56819999999993,0.0,1401.2799999999997
23727,0.0,385.56819999999993,0.0,1401.2799999999997
23728,0.0,394.24979999999994,0.0,1401.2799999999997
23729,0.0,394.24979999999994,0.0,1401.2799999999997
23730,0.0,371.74359999999996,0.0,1401.2799999999997
23731,0.0,371.74359999999996,0.0,1401.2799999999997
23732,0.0,398.817,0.0,1401.2799999999997
23733,0.0,418.2374,0.0,1401.2799999999997
23734,0.0,418.2374,0.0,1401.2799999999997
23735,0.0,418.2374,0.0,1401.2799999999997
23736,0.0,428.9762,0.0,1401.2799999999997
23737,0.0,420.2946,0.0,1401.2799999999997
23738,0.0,410.5844,0.0,1401.28
23739,0.0,420.2946,0.0,1401.2799999999997
23740,0.0,432.062,0.0,1401.2799999999997
23741,0.0,432.062,0.0,1401.2799999999997
23742,0.0,432.062,0.0,1401.2799999999997
23743,0.0,419.26599999999996,0.0,1401.2799999999997
23744,0.0,419.26599999999996,0.0,1401.2799999999997
23745,0.0,427.94759999999997,0.0,1401.2799999999997
23746,0.0,438.6864,0.0,1401.2799999999997
23747,0.0,438.6864,0.0,1401.2799999999997
23748,0.0,449.4252,0.0,1401.2799999999997
23749,0.0,449.4252,0.0,1401.2799999999997
23750,0.0,449.4252,0.0,1401.2799999999997
23751,0.0,459.1354,0.0,1401.2799999999997
23752,0.0,469.87420000000003,0.0,1401.2799999999997
23753,0.0,469.87420000000003,0.0,1401.2799999999997
23754,0.0,487.23740000000004,0.0,1401.2799999999997
23755,0.0,496.9476,0.0,1401.2799999999997
23756,0.0,496.9476,0.0,1401.2799999999997
23757,0.0,493.8618000000001,0.0,1401.28
23758,0.0,471.3556000000001,0.0,1401.28
23759,0.0,471.3556000000001,0.0,1401.28
23760,0.0,460.61680000000007,0.0,1401.28
23761,0.0,438.11060000000015,0.0,1401.28
23762,0.0,429.4290000000001,0.0,1401.28
23763,0.0,429.4290000000001,0.0,1401.28
23764,0.0,418.6902000000001,0.0,1401.28
23765,0.0,408.98,0.0,1401.28
23766,0.0,408.98,0.0,1401.28
23767,0.0,408.98,0.0,1401.28
23768,0.0,417.6616,0.0,1401.28
23769,0.0,425.31460000000004,0.0,1401.28
23770,0.0,415.60440000000006,0.0,1401.28
23771,0.0,415.60440000000006,0.0,1401.28
23772,0.0,426.3432000000001,0.0,1401.28
23773,0.0,426.3432000000001,0.0,1401.28
23774,0.0,428.4004000000001,0.0,1401.28
23775,0.0,428.4004000000001,0.0,1401.28
23776,0.0,438.1106000000001,0.0,1401.2799999999997
23777,0.0,450.9066000000001,0.0,1401.2799999999997
23778,0.0,442.2250000000001,0.0,1401.2799999999997
23779,0.0,442.2250000000001,0.0,1401.2799999999997
23780,0.0,442.2250000000001,0.0,1401.2799999999997
23781,0.0,431.4862,0.0,1401.2799999999997
23782,0.0,443.2536000000001,0.0,1401.2799999999997
23783,0.0,433.54340000000013,0.0,1401.2799999999997
23784,0.0,433.54340000000013,0.0,1401.2799999999997
23785,0.0,434.5720000000001,0.0,1401.2799999999997
23786,0.0,425.8904000000001,0.0,1401.2799999999997
23787,0.0,437.6578000000002,0.0,1401.2799999999997
23788,0.0,437.6578000000002,0.0,1401.2799999999997
23789,0.0,445.31080000000014,0.0,1401.2799999999997
23790,0.0,436.6292000000001,0.0,1401.2799999999997
23791,0.0,448.3966000000001,0.0,1401.2799999999997
23792,0.0,458.1068000000001,0.0,1401.2799999999995
23793,0.0,446.33940000000007,0.0,1401.2799999999997
23794,0.0,446.33940000000007,0.0,1401.2799999999997
23795,0.0,446.33940000000007,0.0,1401.2799999999997
23796,0.0,446.33940000000007,0.0,1401.2799999999997
23797,0.0,453.9924000000001,0.0,1401.2799999999997
23798,0.0,453.9924000000001,0.0,1401.2799999999997
23799,0.0,453.9924000000001,0.0,1401.2799999999997
23800,0.0,444.28220000000005,0.0,1401.2799999999997
