time,taxis
76955,133
76956,132
76957,131
76958,132
76959,132
76960,133
76961,132
76962,132
76963,133
76964,136
76965,138
76966,137
76967,136
76968,135
76969,136
76970,135
76971,133
76972,135
76973,135
76974,137
76975,137
76976,137
76977,138
76978,139
76979,138
76980,140
76981,141
76982,140
76983,140
76984,140
76985,140
76986,140
76987,138
76988,136
76989,136
76990,138
76991,138
76992,139
76993,140
76994,139
76995,141
76996,143
76997,145
76998,143
76999,143
77000,145
77001,143
77002,141
77003,140
77004,143
77005,141
77006,142
77007,144
77008,143
77009,145
77010,144
77011,141
77012,140
77013,138
77014,139
77015,140
77016,135
77017,135
77018,136
77019,136
77020,136
77021,137
77022,136
77023,135
77024,135
77025,135
77026,137
77027,138
77028,136
77029,135
77030,136
77031,136
77032,137
77033,136
77034,136
77035,137
77036,138
77037,138
77038,139
77039,140
77040,140
77041,140
77042,141
77043,139
77044,138
77045,139
77046,141
77047,140
77048,141
77049,140
77050,140
77051,141
77052,142
77053,145
77054,145
77055,146
77056,147
77057,146
77058,146
77059,147
77060,146
77061,145
77062,148
77063,150
77064,150
77065,150
77066,150
77067,151
77068,151
77069,152
77070,151
77071,148
77072,147
77073,145
77074,147
77075,149
77076,151
77077,150
77078,152
77079,153
77080,152
77081,156
77082,155
77083,154
77084,152
77085,152
77086,152
77087,150
77088,150
77089,149
77090,146
77091,146
77092,146
77093,146
77094,146
77095,145
77096,146
77097,142
77098,142
77099,142
77100,143
77101,144
77102,145
77103,146
77104,148
77105,149
77106,149
77107,150
77108,149
77109,148
77110,149
77111,151
77112,150
77113,150
77114,148
77115,147
77116,149
77117,150
77118,147
77119,149
77120,147
77121,149
77122,151
77123,150
77124,149
77125,150
77126,150
77127,152
77128,152
77129,151
77130,150
77131,149
77132,150
77133,149
77134,151
77135,151
77136,152
77137,153
77138,151
77139,150
77140,153
77141,154
77142,155
77143,153
77144,153
77145,151
77146,150
77147,150
77148,152
77149,152
77150,154
77151,156
77152,157
77153,155
77154,156
77155,157
77156,155
77157,153
77158,152
77159,155
77160,155
77161,154
77162,153
77163,153
77164,151
77165,150
77166,153
77167,152
77168,152
77169,154
77170,156
77171,157
77172,157
77173,160
77174,158
77175,155
77176,157
77177,158
77178,159
77179,161
77180,160
77181,161
77182,163
77183,163
77184,162
77185,162
77186,161
77187,159
77188,161
77189,160
77190,160
77191,161
77192,160
77193,160
77194,160
77195,159
77196,161
77197,160
77198,158
77199,157
77200,156
77201,154
77202,155
77203,154
77204,152
77205,154
77206,153
77207,155
77208,155
77209,157
77210,157
77211,160
77212,159
77213,160
77214,159
77215,156
77216,155
77217,155
77218,154
77219,155
77220,155
77221,154
77222,154
77223,154
77224,155
77225,156
77226,157
77227,157
77228,158
77229,161
77230,163
77231,164
77232,165
77233,166
77234,165
77235,167
77236,169
77237,169
77238,168
77239,167
77240,166
77241,168
77242,168
77243,169
77244,166
77245,167
77246,163
77247,163
77248,161
77249,162
77250,164
77251,164
77252,162
77253,161
77254,161
77255,159
77256,160
77257,161
77258,163
77259,166
77260,164
77261,164
77262,165
77263,164
77264,163
77265,162
77266,165
77267,165
77268,168
77269,168
77270,167
77271,165
77272,164
77273,163
77274,161
77275,160
77276,162
77277,162
77278,162
77279,161
77280,160
77281,160
77282,158
77283,158
77284,155
77285,154
77286,155
77287,156
77288,155
77289,158
77290,159
77291,160
77292,160
77293,158
77294,159
77295,157
77296,158
77297,158
77298,157
77299,156
77300,156
77301,155
77302,156
77303,157
77304,157
77305,157
77306,157
77307,156
77308,155
77309,155
77310,154
77311,153
77312,152
77313,152
77314,153
77315,152
77316,150
77317,147
77318,148
77319,147
77320,148
77321,149
77322,150
77323,149
77324,149
77325,149
77326,149
77327,147
77328,146
77329,148
77330,150
77331,148
77332,151
77333,151
77334,148
77335,148
77336,148
77337,147
77338,146
77339,146
77340,147
77341,146
77342,146
77343,144
77344,142
77345,140
77346,141
77347,142
77348,143
77349,143
77350,143
77351,140
77352,138
77353,137
77354,138
77355,139
77356,140
77357,140
77358,142
77359,141
77360,139
77361,137
77362,135
77363,135
77364,133
77365,133
77366,134
77367,133
77368,134
77369,134
77370,135
77371,136
77372,135
77373,137
77374,136
77375,134
77376,130
77377,132
77378,129
77379,131
77380,129
77381,127
77382,127
77383,127
77384,128
77385,129
77386,127
77387,126
77388,126
77389,123
77390,124
77391,124
77392,127
77393,127
77394,125
77395,123
77396,122
77397,124
77398,124
77399,124
77400,125
77401,126
